sep=,
"Time","localhost:9100"
2023-01-11 22:00:00,
2023-01-11 23:00:00,
2023-01-12 00:00:00,
2023-01-12 01:00:00,
2023-01-12 02:00:00,
2023-01-12 03:00:00,
2023-01-12 04:00:00,
2023-01-12 05:00:00,
2023-01-12 06:00:00,
2023-01-12 07:00:00,
2023-01-12 08:00:00,
2023-01-12 09:00:00,
2023-01-12 10:00:00,
2023-01-12 11:00:00,
2023-01-12 12:00:00,
2023-01-12 13:00:00,
2023-01-12 14:00:00,
2023-01-12 15:00:00,
2023-01-12 16:00:00,
2023-01-12 17:00:00,
2023-01-12 18:00:00,
2023-01-12 19:00:00,
2023-01-12 20:00:00,
2023-01-12 21:00:00,
2023-01-12 22:00:00,
2023-01-12 23:00:00,
2023-01-13 00:00:00,
2023-01-13 01:00:00,
2023-01-13 02:00:00,
2023-01-13 03:00:00,
2023-01-13 04:00:00,
2023-01-13 05:00:00,
2023-01-13 06:00:00,
2023-01-13 07:00:00,
2023-01-13 08:00:00,
2023-01-13 09:00:00,
2023-01-13 10:00:00,
2023-01-13 11:00:00,
2023-01-13 12:00:00,
2023-01-13 13:00:00,
2023-01-13 14:00:00,
2023-01-13 15:00:00,
2023-01-13 16:00:00,
2023-01-13 17:00:00,
2023-01-13 18:00:00,
2023-01-13 19:00:00,
2023-01-13 20:00:00,
2023-01-13 21:00:00,
2023-01-13 22:00:00,
2023-01-13 23:00:00,
2023-01-14 00:00:00,
2023-01-14 01:00:00,
2023-01-14 02:00:00,
2023-01-14 03:00:00,
2023-01-14 04:00:00,
2023-01-14 05:00:00,
2023-01-14 06:00:00,
2023-01-14 07:00:00,
2023-01-14 08:00:00,
2023-01-14 09:00:00,
2023-01-14 10:00:00,
2023-01-14 11:00:00,
2023-01-14 12:00:00,
2023-01-14 13:00:00,
2023-01-14 14:00:00,
2023-01-14 15:00:00,
2023-01-14 16:00:00,
2023-01-14 17:00:00,
2023-01-14 18:00:00,
2023-01-14 19:00:00,
2023-01-14 20:00:00,
2023-01-14 21:00:00,
2023-01-14 22:00:00,
2023-01-14 23:00:00,
2023-01-15 00:00:00,
2023-01-15 01:00:00,
2023-01-15 02:00:00,
2023-01-15 03:00:00,
2023-01-15 04:00:00,
2023-01-15 05:00:00,
2023-01-15 06:00:00,
2023-01-15 07:00:00,
2023-01-15 08:00:00,
2023-01-15 09:00:00,
2023-01-15 10:00:00,
2023-01-15 11:00:00,
2023-01-15 12:00:00,
2023-01-15 13:00:00,
2023-01-15 14:00:00,
2023-01-15 15:00:00,
2023-01-15 16:00:00,
2023-01-15 17:00:00,
2023-01-15 18:00:00,
2023-01-15 19:00:00,
2023-01-15 20:00:00,
2023-01-15 21:00:00,
2023-01-15 22:00:00,
2023-01-15 23:00:00,
2023-01-16 00:00:00,
2023-01-16 01:00:00,
2023-01-16 02:00:00,
2023-01-16 03:00:00,
2023-01-16 04:00:00,
2023-01-16 05:00:00,
2023-01-16 06:00:00,
2023-01-16 07:00:00,
2023-01-16 08:00:00,
2023-01-16 09:00:00,
2023-01-16 10:00:00,
2023-01-16 11:00:00,0.508
2023-01-16 12:00:00,0.429
2023-01-16 13:00:00,0.369
2023-01-16 14:00:00,0.419
2023-01-16 15:00:00,0.424
2023-01-16 16:00:00,0.357
2023-01-16 17:00:00,0.355
2023-01-16 18:00:00,0.358
2023-01-16 19:00:00,0.359
2023-01-16 20:00:00,0.368
2023-01-16 21:00:00,0.376
2023-01-16 22:00:00,0.378
2023-01-16 23:00:00,0.384
2023-01-17 00:00:00,0.385
2023-01-17 01:00:00,0.387
2023-01-17 02:00:00,0.391
2023-01-17 03:00:00,0.394
2023-01-17 04:00:00,0.397
2023-01-17 05:00:00,0.400
2023-01-17 06:00:00,0.408
2023-01-17 07:00:00,0.412
2023-01-17 08:00:00,0.419
2023-01-17 09:00:00,0.421
2023-01-17 10:00:00,0.419
2023-01-17 11:00:00,0.424
2023-01-17 12:00:00,0.427
2023-01-17 13:00:00,0.418
2023-01-17 14:00:00,0.435
2023-01-17 15:00:00,0.436
2023-01-17 16:00:00,0.441
2023-01-17 17:00:00,0.445
2023-01-17 18:00:00,0.444
2023-01-17 19:00:00,0.448
2023-01-17 20:00:00,0.451
2023-01-17 21:00:00,0.453
2023-01-17 22:00:00,0.457
2023-01-17 23:00:00,0.459
2023-01-18 00:00:00,0.458
2023-01-18 01:00:00,0.470
2023-01-18 02:00:00,0.470
2023-01-18 03:00:00,0.477
2023-01-18 04:00:00,0.472
2023-01-18 05:00:00,0.476
2023-01-18 06:00:00,0.477
2023-01-18 07:00:00,0.482
2023-01-18 08:00:00,0.486
2023-01-18 09:00:00,0.483
2023-01-18 10:00:00,0.488
2023-01-18 11:00:00,0.488
2023-01-18 12:00:00,0.496
2023-01-18 13:00:00,0.498
2023-01-18 14:00:00,0.498
2023-01-18 15:00:00,0.505
2023-01-18 16:00:00,0.498
2023-01-18 17:00:00,0.507
2023-01-18 18:00:00,0.512
2023-01-18 19:00:00,0.517
2023-01-18 20:00:00,0.345
2023-01-18 21:00:00,0.0542
2023-01-18 22:00:00,0.0541

